OrderDate,TotalSales
2022-10-30 11:05:56.403764,692.63
2022-10-31 11:05:56.403764,896.59
2022-11-01 11:05:56.403764,970.08
2022-11-02 11:05:56.403764,1052.1
2022-11-03 11:05:56.403764,893.64
2022-11-04 11:05:56.403764,895.67
2022-11-05 11:05:56.403764,774.14
2022-11-06 11:05:56.403764,721.58
2022-11-07 11:05:56.403764,880.34
2022-11-08 11:05:56.403764,976.23
2022-11-09 11:05:56.403764,885.31
2022-11-10 11:05:56.403764,887.38
2022-11-11 11:05:56.403764,955.75
2022-11-12 11:05:56.403764,550.29
2022-11-13 11:05:56.403764,564.64
2022-11-14 11:05:56.403764,887.9
2022-11-15 11:05:56.403764,847.88
2022-11-16 11:05:56.403764,975.85
2022-11-17 11:05:56.403764,862.69
2022-11-18 11:05:56.403764,817.22
2022-11-19 11:05:56.403764,795.87
2022-11-20 11:05:56.403764,680.5
2022-11-21 11:05:56.403764,966.69
2022-11-22 11:05:56.403764,825.93
2022-11-23 11:05:56.403764,913.54
2022-11-24 11:05:56.403764,979.91
2022-11-25 11:05:56.403764,860.32
2022-11-26 11:05:56.403764,735.98
2022-11-27 11:05:56.403764,668.87
2022-11-28 11:05:56.403764,953.01
2022-11-29 11:05:56.403764,925.59
2022-11-30 11:05:56.403764,1171.11
2022-12-01 11:05:56.403764,990.03
2022-12-02 11:05:56.403764,889.47
2022-12-03 11:05:56.403764,785.53
2022-12-04 11:05:56.403764,639.37
2022-12-05 11:05:56.403764,1025.78
2022-12-06 11:05:56.403764,810.64
2022-12-07 11:05:56.403764,877.3
2022-12-08 11:05:56.403764,1035.14
2022-12-09 11:05:56.403764,1093.89
2022-12-10 11:05:56.403764,756.15
2022-12-11 11:05:56.403764,737.37
2022-12-12 11:05:56.403764,998.33
2022-12-13 11:05:56.403764,880.2
2022-12-14 11:05:56.403764,961.92
2022-12-15 11:05:56.403764,992.25
2022-12-16 11:05:56.403764,1154.17
2022-12-17 11:05:56.403764,787.99
2022-12-18 11:05:56.403764,629.71
2022-12-19 11:05:56.403764,1089.06
2022-12-20 11:05:56.403764,1017.83
2022-12-21 11:05:56.403764,990.41
2022-12-22 11:05:56.403764,1131.26
2022-12-23 11:05:56.403764,1180.09
2022-12-24 11:05:56.403764,853.48
2022-12-25 11:05:56.403764,717.75
2022-12-26 11:05:56.403764,1047.66
2022-12-27 11:05:56.403764,1120.8
2022-12-28 11:05:56.403764,1194.85
2022-12-29 11:05:56.403764,1040.08
2022-12-30 11:05:56.403764,1075.86
2022-12-31 11:05:56.403764,711.49
2023-01-01 11:05:56.403764,706.73
2023-01-02 11:05:56.403764,1197.57
2023-01-03 11:05:56.403764,1262.08
2023-01-04 11:05:56.403764,1107.11
2023-01-05 11:05:56.403764,1231.2
2023-01-06 11:05:56.403764,1163.28
2023-01-07 11:05:56.403764,766.38
2023-01-08 11:05:56.403764,851.67
2023-01-09 11:05:56.403764,1308.35
2023-01-10 11:05:56.403764,1133.61
2023-01-11 11:05:56.403764,1320.0
2023-01-12 11:05:56.403764,845.13
